AS_OF_DATE,CUSTOMER_ID,ACCOUNT_ID,SEGMENT,BUCKET,OUTSTANDING,INSTALMENT,EIR,REMAINING_TERM
2019-11-30,00000000149869,553086266,HU,0,12503.08,6270.09,0.06165647,2.0
2019-11-30,00000000154545,553089135,HU,0,6424.77,6426.17,0.07867,1.0
2019-11-30,00000000162091,553094125,HU,0,21945.280000000002,11011.21,0.07871,2.0
2019-11-30,00000000167957,561097272,HU,0,24184.48,8156.07,0.059050849999999995,3.0
2019-11-30,00000000167913,561097358,HU,1,31574.52,10932.71,0.06252205,3.0
2019-11-30,00000000167146,561097574,HU,0,15786.779999999999,7935.51,0.059050849999999995,3.0
2019-11-30,00000000169173,561097821,HU,0,16195.43,8156.07,0.059050849999999995,3.0
2019-11-30,00000000168518,561097998,HU,1,20049.0,8800.0,0.06252205,3.0
2019-11-30,00000000162544,561098147,HU,0,24978.42,8406.54,0.05699245,4.0
2019-11-30,00000000171206,561098868,HU,0,34960.689999999995,11738.32,0.07448955,3.0
2019-11-30,00000000172069,561099363,HU,0,18568.26,9368.22,0.07212662,3.0
2019-11-30,00000000172003,561099373,HU,0,21237.77,7117.76,0.0555556,3.0
2019-11-30,00000000156647,561099377,HU,0,15964.02,5354.21,0.0415029,4.0
2019-11-30,00000000311917,561099523,HU,0,18896.51,6337.38,0.059050849999999995,3.0
2019-11-30,00000000529814,561099717,HU,0,42973.12,14418.69,0.0415029,4.0
2019-11-30,00000000171681,561099955,HU,0,45279.850000000006,9177.57,0.059050849999999995,6.0
2019-11-30,00000000172775,561100087,HU,4,415816.44,10341.12,0.06252205,4.0
2019-11-30,00000000174101,561100876,HU,4,403083.59,7171.03,0.08287352,4.0
2019-11-30,00000000181639,561105465,HU,0,27224.05,5524.3,0.064249,6.0
2019-11-30,00000000182041,561105675,CU,0,34216.28,6969.16,0.092765,5.0
2019-11-30,00000000181197,561105892,HU,0,36379.35,6171.96,0.084535,6.0
2019-11-30,00000000182286,561105897,CU,1,40480.87,7522.43,0.082874,5.0
2019-11-30,00000000182432,561106036,HU,1,35815.020000000004,6052.34,0.084535,5.0
2019-11-30,00000000182529,561106128,CU,0,43934.68,8916.82,0.074723,5.0
2019-11-30,00000000182756,561106242,CU,4,574959.14,6898.13,0.089488,6.0
2019-11-30,00000000182285,561106278,HU,1,35399.44,5981.31,0.07617697,5.0
2019-11-30,00000000184964,561106342,CU,0,35905.22,7291.59,0.077859,5.0
2019-11-30,00000000184953,561106417,CU,4,158734.28,6992.52,0.089488,5.0
2019-11-30,00000000185847,561106466,HU,0,41005.9,6957.01,0.084535,6.0
2019-11-30,00000000185668,561106507,HU,0,28524.75,4820.56,0.06597,6.0
2019-11-30,00000000186170,561106566,CU,0,32426.87,8247.66,0.082874,6.0
2019-11-30,00000000186067,561106655,CU,0,37702.3,7649.53,0.072797,5.0
2019-11-30,00000000182289,561106670,HU,0,29161.489999999998,5943.93,0.08453466000000001,6.0
2019-11-30,00000000186240,561106712,HU,4,396703.24,5966.36,0.084535,6.0
2019-11-30,00000000186340,561106727,CU,0,40002.08,8128.97,0.08120699999999999,5.0
2019-11-30,00000000186403,561106734,CU,0,9933.3,5011.21,0.071098,6.0
2019-11-30,00000000186510,561106745,HU,4,488490.64,6241.12,0.077859,5.0
2019-11-30,00000000176933,561106773,CU,0,49497.1,8383.18,0.06768493,6.0
2019-11-30,00000000186561,561106779,HU,0,39578.88,5775.7,0.076177,7.0
2019-11-30,00000000186520,561106780,HU,0,22480.19,5719.63,0.084535,6.0
2019-11-30,00000000186105,561106791,CU,4,569403.05,8228.97,0.089488,6.0
2019-11-30,00000000186593,561106820,HU,0,48608.32,9889.72,0.06854,6.0
2019-11-30,00000000186684,561106903,CU,0,33188.61,8441.12,0.082874,6.0
2019-11-30,00000000182475,561107397,HU,0,37687.86,6397.2,0.076177,6.0
2019-11-30,00000000186917,561107445,CU,0,40263.47,8203.74,0.07449,6.0
2019-11-30,00000000186974,561107453,CU,0,48189.32,8172.9,0.082874,6.0
2019-11-30,00000000186242,561107506,HU,0,35590.8,6052.34,0.084535,6.0
2019-11-30,00000000186305,561107531,CU,0,49336.59,8367.29,0.082874,6.0
2019-11-30,00000000187992,561107533,CU,4,487945.86,8691.59,0.082874,6.0
2019-11-30,00000000187661,561107568,HU,0,45836.42,9321.5,0.066828,6.0
2019-11-30,00000000187075,561107664,CU,0,45898.34,7833.64,0.089488,7.0
2019-11-30,00000000149676,561107687,HU,4,568141.6,6741.12,0.089488,6.0
2019-11-30,00000000188133,561107772,CU,4,317269.48,8120.56,0.06768500000000001,6.0
2019-11-30,00000000186089,561108041,HU,0,35316.54,5981.31,0.076177,6.0
2019-11-30,00000000188498,561108049,HU,4,386116.09,5675.7,0.076177,6.0
2019-11-30,00000000188755,561108100,CU,4,561895.25,7487.85,0.07449,7.0
2019-11-30,00000000171909,561108112,HU,4,713664.73,8800.0,0.06252205,6.0
2019-11-30,00000000188323,561108199,CU,4,338104.41,5342.99,0.072797,6.0
2019-11-30,00000000187684,561108281,CU,4,536727.01,7776.64,0.076177,6.0
2019-11-30,00000000189138,561108365,CU,0,34863.57,8882.24,0.091129,6.0
2019-11-30,00000000189168,561108381,CU,4,479643.25,9760.75,0.08619099999999999,6.0
2019-11-30,00000000189062,561108443,HU,4,506124.65,6930.84,0.084535,7.0
2019-11-30,00000000189041,561108448,CU,0,53933.4,7870.09,0.084535,7.0
2019-11-30,00000000187936,561108449,HU,0,58785.93,8557.01,0.06511,7.0
2019-11-30,00000000188460,561108503,HU,0,31784.41,5476.64,0.069394,6.0
2019-11-30,00000000189484,561108525,HU,0,28062.39,4751.4,0.06597,6.0
2019-11-30,00000000189437,561108584,CU,4,453133.15,8836.45,0.089488,7.0
2019-11-30,00000000189479,561108662,HU,4,81317.73,5106.54,0.06597,6.0
2019-11-30,00000000188690,561108716,HU,1,41643.14,6052.34,0.084535,6.0
2019-11-30,00000000189966,561108872,HU,0,23093.74,4693.46,0.064249,6.0
2019-11-30,00000000189977,561108889,HU,0,19371.2,3923.36,0.064154,5.0
2019-11-30,00000000188582,561108943,HU,0,30924.87,5259.81,0.076177,7.0
2019-11-30,00000000190044,561108945,HU,0,41168.159999999996,7020.56,0.08619099999999999,7.0
2019-11-30,00000000189887,561108964,CU,1,59699.04,8836.45,0.089488,6.0
2019-11-30,00000000189862,561109021,HU,0,33591.29,5719.63,0.084535,6.0
2019-11-30,00000000189752,561109074,CU,4,580764.0,9187.85,0.089488,6.0
2019-11-30,00000000189651,561109080,HU,0,46388.98,6774.77,0.087842,7.0
2019-11-30,00000000190245,561109129,HU,0,37166.520000000004,6322.43,0.08619099999999999,6.0
2019-11-30,00000000190075,561109148,CU,0,33713.979999999996,5728.97,0.072797,7.0
2019-11-30,00000000189609,561109168,CU,1,116385.71,11953.27,0.082208,9.0
2019-11-30,00000000190150,561109169,HU,0,33412.159999999996,5667.29,0.06768500000000001,6.0
2019-11-30,00000000190420,561109225,HU,4,242854.82,6215.89,0.076177,8.0
2019-11-30,00000000190335,561109271,CU,4,590773.76,9230.84,0.091129,7.0
2019-11-30,00000000190294,561109313,HU,0,41937.58,7135.51,0.08619099999999999,6.0
2019-11-30,00000000190378,561109407,HU,4,314593.49,7115.89,0.08948778,6.0
2019-11-30,00000000190338,561109423,HU,0,37621.37,5477.57,0.06768500000000001,7.0
2019-11-30,00000000190688,561109467,HU,4,415249.48,6171.96,0.084535,6.0
2019-11-30,00000000190726,561109512,CU,0,48073.54,8172.9,0.082874,6.0
2019-11-30,00000000190965,561109520,HU,0,37649.41,5481.31,0.06768500000000001,7.0
2019-11-30,00000000190855,561109534,HU,1,82085.01,9339.25,0.076177,9.0
2019-11-30,00000000190315,561109550,HU,0,41382.06,6045.79,0.079536,7.0
2019-11-30,00000000190864,561109629,CU,4,357832.61,5302.8,0.072797,7.0
2019-11-30,00000000191110,561109664,CU,4,643066.28,8133.64,0.089488,6.0
2019-11-30,00000000189506,561109708,CU,0,39455.75,6680.37,0.06596974,6.0
2019-11-30,00000000190713,561109724,HU,1,42644.94,5898.13,0.076177,7.0
2019-11-30,00000000406463,561109728,HU,0,35167.700000000004,5981.31,0.076177,7.0
2019-11-30,00000000191066,561109882,CU,1,56059.08,8144.86,0.082874,6.0
2019-11-30,00000000191952,561110096,CU,0,51573.21,7522.43,0.082874,7.0
2019-11-30,00000000190518,561110113,HU,2,68892.7,5981.31,0.076177,11.0
2019-11-30,00000000190302,561110128,HU,0,43408.52,6352.34,0.08619099999999999,7.0
2019-11-30,00000000191987,561110148,HU,0,29826.58,5074.77,0.071098,7.0
2019-11-30,00000000192086,561110160,HU,0,50308.020000000004,7326.17,0.076177,7.0
2019-11-30,00000000192087,561110168,HU,4,372503.36,5981.31,0.076177,7.0
2019-11-30,00000000192137,561110180,HU,4,291770.8,5197.2,0.06768500000000001,8.0
2019-11-30,00000000191509,561110208,CU,0,44698.94,7642.06,0.087842,7.0
2019-11-30,00000000191078,561110215,HU,4,84960.67,4984.11,0.06768500000000001,7.0
2019-11-30,00000000192247,561110294,CU,4,651668.64,8133.64,0.089488,7.0
2019-11-30,00000000192329,561110298,CU,0,54748.65,9343.93,0.089488,7.0
2019-11-30,00000000192045,561110338,HU,4,301701.42,5565.42,0.076177,7.0
2019-11-30,00000000192385,561110368,HU,0,39092.98,6677.57,0.084535,7.0
2019-11-30,00000000191910,561110411,CU,4,417448.99,6480.37,0.072797,7.0
2019-11-30,00000000192255,561110415,HU,0,33535.4,5680.37,0.06768500000000001,6.0
2019-11-30,00000000436027,561110418,HU,0,27731.66,4693.46,0.064249,6.0
2019-11-30,00000000192412,561110427,CU,0,51423.96,7485.05,0.07449,7.0
2019-11-30,00000000413207,561110431,HU,0,43753.53,6375.7,0.071098,7.0
2019-11-30,00000000192524,561110454,HU,4,241552.12,6216.82,0.076177,7.0
2019-11-30,00000000192201,561110457,HU,0,67666.29,11583.18,0.076177,6.0
2019-11-30,00000000192360,561110466,HU,0,40670.0,6938.32,0.087842,7.0
2019-11-30,00000000192556,561110543,HU,0,39410.75,6725.23,0.08619099999999999,7.0
2019-11-30,00000000192492,561110544,HU,0,22003.45,4471.96,0.064249,7.0
2019-11-30,00000000192754,561110578,CU,4,413980.29,9171.03,0.089488,7.0
2019-11-30,00000000160518,561110579,HU,4,636221.28,11117.76,0.06768493,7.0
2019-11-30,00000000192527,561110605,HU,4,392549.45,5846.73,0.076177,6.0
2019-11-30,00000000191564,561110654,HU,0,33705.170000000006,5729.91,0.07449,7.0
2019-11-30,00000000192523,561110660,CU,4,565150.56,8466.36,0.082874,7.0
2019-11-30,00000000192291,561110700,HU,0,31634.68,5363.55,0.06768500000000001,6.0
2019-11-30,00000000193014,561110732,HU,2,40199.98,5096.26,0.06768500000000001,7.0
2019-11-30,00000000192505,561110789,HU,0,41341.12,5297.2,0.071098,9.0
2019-11-30,00000000192951,561110795,HU,4,458301.12,6355.14,0.084535,8.0
2019-11-30,00000000192848,561110803,HU,1,96191.39,9878.5,0.079536,9.0
2019-11-30,00000000192544,561110810,CU,4,716070.44,9174.77,0.089488,8.0
2019-11-30,00000000192968,561110815,CU,4,667299.08,8882.24,0.091129,8.0
2019-11-30,00000000192352,561110872,HU,0,32594.59,5543.93,0.076177,7.0
2019-11-30,00000000193142,561110874,HU,4,179039.17,8810.28,0.06597,7.0
2019-11-30,00000000192128,561110876,HU,4,210922.6,6562.62,0.077859,8.0
2019-11-30,00000000192823,561110886,HU,0,41073.38,5981.31,0.076177,7.0
2019-11-30,00000000193309,561110931,HU,0,42189.1,6171.96,0.084535,7.0
2019-11-30,00000000192849,561110966,HU,0,36132.9,6171.96,0.084535,7.0
2019-11-30,00000000193395,561110967,HU,2,78857.09000000001,6785.05,0.089488,11.0
2019-11-30,00000000192517,561110982,CU,4,483063.21,8325.23,0.064249,7.0
2019-11-30,00000000192985,561110989,HU,4,232780.4,5257.01,0.06768500000000001,7.0
2019-11-30,00000000193355,561111038,CU,1,68002.76,8691.59,0.082874,8.0
2019-11-30,00000000193180,561111045,HU,0,171523.25,25079.44,0.092765,7.0
2019-11-30,00000000192978,561111067,CU,4,375891.95,9609.35,0.082874,7.0
2019-11-30,00000000193070,561111116,HU,0,43355.270000000004,6347.66,0.087842,7.0
2019-11-30,00000000193498,561111167,HU,0,24950.28,3626.17,0.06768500000000001,7.0
2019-11-30,00000000193713,561111179,CU,0,64121.350000000006,8258.88,0.08619099999999999,9.0
2019-11-30,00000000193489,561111180,HU,0,25896.59,5257.01,0.06593,6.0
2019-11-30,00000000193444,561111183,CU,0,51506.72,7585.05,0.082874,7.0
2019-11-30,00000000193693,561111220,CU,0,55728.3,9532.71,0.089488,7.0
2019-11-30,00000000193666,561111251,HU,1,47430.49,6052.34,0.084535,7.0
2019-11-30,00000000193829,561111267,CU,0,58612.25,8592.52,0.092765,7.0
2019-11-30,00000000193401,561111300,CU,4,741056.4,9714.95,0.102483,7.0
2019-11-30,00000000193911,561111345,HU,4,171317.19,7967.29,0.084535,9.0
2019-11-30,00000000193806,561111397,HU,4,903978.28,11049.53,0.082874,7.0
2019-11-30,00000000193639,561111423,CU,4,430246.05,8367.29,0.082874,7.0
2019-11-30,00000000193875,561111463,HU,0,32722.76,5565.42,0.076177,7.0
2019-11-30,00000000194153,561111491,CU,4,423213.0,7817.76,0.082874,7.0
2019-11-30,00000000194150,561111497,HU,0,49590.46,7246.73,0.08120699999999999,7.0
2019-11-30,00000000158185,561111509,CU,4,678833.2,10248.6,0.089488,7.0
2019-11-30,00000000194359,561111592,HU,0,37841.780000000006,5512.15,0.069394,7.0
2019-11-30,00000000194239,561111609,HU,1,55145.97,5706.54,0.084535,9.0
2019-11-30,00000000194307,561111611,CU,0,30998.45,7921.5,0.105686,8.0
2019-11-30,00000000194062,561111617,CU,0,41385.63,6040.19,0.069394,8.0
2019-11-30,00000000194373,561111622,CU,0,51529.549999999996,6589.72,0.071098,8.0
2019-11-30,00000000193510,561111623,CU,0,55418.87,8133.64,0.089488,7.0
2019-11-30,00000000194230,561111659,CU,0,50094.46,7318.69,0.072797,8.0
2019-11-30,00000000194094,561111664,HU,0,32269.08,4693.46,0.064249,7.0
2019-11-30,00000000193515,561111684,CU,0,80876.8,7594.39,0.072797,11.0
2019-11-30,00000000194477,561111762,HU,0,30832.29,4490.65,0.06597,7.0
2019-11-30,00000000193987,561111764,CU,0,59093.47,7585.05,0.082874,8.0
2019-11-30,00000000194093,561111774,HU,4,426680.66,5985.98,0.084535,8.0
2019-11-30,00000000194406,561111778,CU,4,664704.04,10033.64,0.102483,8.0
2019-11-30,00000000188524,561111779,HU,0,38812.07,5675.7,0.076177,7.0
2019-11-30,00000000189167,561111788,HU,0,83736.28,9581.31,0.08120699999999999,9.0
2019-11-30,00000000193877,561111799,HU,0,38217.810000000005,5565.42,0.076177,7.0
2019-11-30,00000000194489,561111802,CU,0,52207.89,7665.42,0.08619099999999999,7.0
2019-11-30,00000000194701,561111820,HU,0,25129.86,3655.14,0.064249,7.0
2019-11-30,00000000189304,561111821,CU,0,56029.07,8172.9,0.082874,7.0
2019-11-30,00000000194705,561111858,HU,0,32660.44,5565.42,0.076177,7.0
2019-11-30,00000000194791,561111863,HU,4,417045.65,7987.85,0.087842,8.0
2019-11-30,00000000194563,561111864,CU,1,51534.4,7522.43,0.082874,7.0
2019-11-30,00000000194775,561111902,HU,0,40645.94,5923.36,0.071098,7.0
2019-11-30,00000000194242,561111904,CU,4,701215.08,8973.83,0.09439700000000001,9.0
2019-11-30,00000000194526,561111934,CU,4,709808.71,8953.27,0.082874,7.0
2019-11-30,00000000194958,561111967,HU,4,306302.19,6352.34,0.08619099999999999,7.0
2019-11-30,00000000195033,561112025,CU,0,62729.02,9183.18,0.089488,7.0
2019-11-30,00000000194133,561112038,HU,0,39276.91,5737.38,0.079536,7.0
2019-11-30,00000000194766,561112048,HU,4,497885.34,7885.05,0.084535,8.0
2019-11-30,00000000194743,561112049,HU,0,47360.490000000005,6957.01,0.084535,7.0
2019-11-30,00000000194905,561112066,CU,0,45524.56,6668.22,0.089488,7.0
2019-11-30,00000000194365,561112081,CU,4,564587.34,8324.3,0.090213,6.0
2019-11-30,00000000195027,561112092,CU,0,60121.0,8828.04,0.089488,8.0
2019-11-30,00000000182218,561112149,HU,4,147773.16,5430.84,0.064249,7.0
2019-11-30,00000000195115,561112170,CU,0,70584.43,10319.63,0.082874,7.0
2019-11-30,00000000193731,561112210,CU,4,558009.8,8472.9,0.071098,7.0
2019-11-30,00000000195449,561112214,HU,0,42157.84,6149.53,0.06768500000000001,8.0
2019-11-30,00000000195010,561112216,HU,0,33647.74,4897.2,0.06597,7.0
2019-11-30,00000000194678,561112225,HU,4,407196.89,6052.34,0.084535,7.0
2019-11-30,00000000195231,561112230,HU,0,42880.58,6771.03,0.084535,7.0
2019-11-30,00000000195420,561112244,CU,0,113442.53,14567.29,0.082208,8.0
2019-11-30,00000000195410,561112250,CU,4,503726.14,8201.87,0.089488,7.0
2019-11-30,00000000130405,561112263,HU,0,37621.37,5477.57,0.06768500000000001,7.0
2019-11-30,00000000195578,561112275,HU,0,45036.13,6609.35,0.087842,8.0
2019-11-30,00000000345590,561112294,HU,1,51545.42,5857.94,0.06768500000000001,9.0
2019-11-30,00000000182316,561112301,CU,0,55955.36,8201.87,0.089488,7.0
2019-11-30,00000000194980,561112315,HU,0,41475.05,6052.34,0.084535,7.0
2019-11-30,00000000195658,561112333,HU,4,436010.39,5981.31,0.076177,7.0
2019-11-30,00000000195025,561112354,HU,4,483010.66,6985.98,0.084535,7.0
2019-11-30,00000000195710,561112381,HU,4,208858.75,4739.25,0.064249,7.0
2019-11-30,00000000195072,561112383,HU,4,353657.29,11357.01,0.084535,7.0
2019-11-30,00000000194895,561112392,CU,0,42150.95,7180.37,0.07449,7.0
2019-11-30,00000000195792,561112401,CU,4,94597.16,7196.26,0.089488,7.0
2019-11-30,00000000306969,561112427,HU,1,49084.53,6281.31,0.084535,8.0
2019-11-30,00000000188502,561112459,CU,0,60043.69,8836.45,0.089488,7.0
2019-11-30,00000000196100,561112521,HU,4,511823.95,6309.35,0.076177,8.0
2019-11-30,00000000355959,561112532,HU,4,120433.28,5538.32,0.071098,10.0
2019-11-30,00000000195850,561112548,HU,0,43622.0,6352.34,0.076177,7.0
2019-11-30,00000000195947,561112560,HU,4,490401.9,7297.2,0.091129,8.0
2019-11-30,00000000195567,561112591,CU,0,54914.240000000005,7029.91,0.07449,8.0
2019-11-30,00000000195654,561112598,CU,0,46518.11,6829.91,0.089488,8.0
2019-11-30,00000000195936,561112604,CU,4,522224.23,8940.19,0.089488,7.0
2019-11-30,00000000195262,561112609,HU,0,71088.23999999999,10395.33,0.076177,8.0
2019-11-30,00000000195730,561112622,CU,0,55858.44,8201.87,0.089488,8.0
2019-11-30,00000000194627,561112644,HU,0,35025.759999999995,5106.54,0.06597,8.0
2019-11-30,00000000196262,561112668,HU,0,37149.630000000005,4739.25,0.064249,8.0
2019-11-30,00000000195133,561112680,CU,4,554939.34,7208.41,0.092765,8.0
2019-11-30,00000000196253,561112703,HU,0,32162.85,5483.18,0.077859,7.0
2019-11-30,00000000077002,561112727,HU,4,540104.58,8814.02,0.087842,8.0
2019-11-30,00000000196125,561112758,HU,0,47339.759999999995,6908.41,0.084535,7.0
2019-11-30,00000000194649,561112791,CU,4,359340.62,8734.58,0.082874,8.0
2019-11-30,00000000196411,561112809,HU,4,437069.35,6806.54,0.08619099999999999,7.0
2019-11-30,00000000195964,561112872,HU,1,47563.090000000004,6086.92,0.087842,8.0
2019-11-30,00000000196548,561112904,CU,4,691827.73,8201.87,0.089488,8.0
2019-11-30,00000000196540,561112911,HU,4,393759.99,6456.07,0.087842,8.0
2019-11-30,00000000196196,561112915,HU,4,341545.79,7094.39,0.087842,8.0
2019-11-30,00000000196722,561112924,HU,0,44077.53,6456.07,0.087842,7.0
2019-11-30,00000000196738,561112937,HU,4,417685.68,6600.0,0.087842,8.0
2019-11-30,00000000196713,561112942,CU,0,60690.119999999995,6965.42,0.089488,9.0
2019-11-30,00000000196346,561112943,CU,0,64413.299999999996,9400.0,0.076177,7.0
2019-11-30,00000000196020,561112947,CU,0,72570.55,10592.52,0.076177,7.0
2019-11-30,00000000361319,561112952,CU,0,51094.200000000004,7434.58,0.072797,7.0
2019-11-30,00000000319852,561112954,HU,4,290174.01,6553.27,0.089488,7.0
2019-11-30,00000000194181,561112970,HU,4,245652.4,5981.31,0.076177,7.0
2019-11-30,00000000196185,561112978,CU,0,61538.61,7960.75,0.10728,8.0
2019-11-30,00000000195733,561112980,CU,4,464280.9,7585.05,0.082874,8.0
2019-11-30,00000000196828,561112997,HU,4,404763.14,6303.74,0.077859,7.0
2019-11-30,00000000196178,561112998,HU,4,479924.32,5757.94,0.069394,8.0
2019-11-30,00000000196178,561112999,HU,4,238499.86,6549.53,0.077859,7.0
2019-11-30,00000000196810,561113031,HU,1,57762.10999999999,6930.84,0.089488,8.0
2019-11-30,00000000196595,561113032,HU,0,64176.81,6624.3,0.084535,10.0
2019-11-30,00000000196851,561113037,CU,4,641117.51,9532.71,0.089488,9.0
2019-11-30,00000000196916,561113088,CU,4,639085.2,8296.26,0.089488,8.0
2019-11-30,00000000196703,561113092,CU,4,651102.28,8133.64,0.089488,8.0
2019-11-30,00000000196500,561113093,HU,0,47803.76,7023.36,0.084535,8.0
2019-11-30,00000000196813,561113108,HU,4,469558.66,6504.67,0.084535,8.0
2019-11-30,00000000197029,561113116,HU,1,50851.84,6491.59,0.08619099999999999,7.0
2019-11-30,00000000197047,561113120,HU,0,48270.700000000004,7064.49,0.077859,8.0
2019-11-30,00000000196561,561113131,HU,0,42824.53,6270.09,0.08619099999999999,7.0
2019-11-30,00000000196927,561113135,CU,4,291930.06,8787.85,0.091129,8.0
2019-11-30,00000000197022,561113161,CU,4,768516.3,9714.95,0.102483,8.0
2019-11-30,00000000197045,561113172,HU,1,54407.88,6957.01,0.084535,8.0
2019-11-30,00000000197102,561113193,HU,1,50182.28,6562.62,0.077859,7.0
2019-11-30,00000000197044,561113200,HU,0,55321.3,7109.35,0.079536,9.0
2019-11-30,00000000197137,561113226,HU,0,51042.57,7448.6,0.076177,7.0
2019-11-30,00000000197209,561113280,CU,0,51429.17,7522.43,0.082874,7.0
2019-11-30,00000000197342,561113308,CU,4,657790.1,9127.1,0.089488,7.0
2019-11-30,00000000196586,561113316,HU,1,55978.13,7248.6,0.092765,8.0
2019-11-30,00000000196894,561113349,HU,0,47173.15,6938.32,0.087842,8.0
2019-11-30,00000000195987,561113363,HU,4,221720.87,6675.7,0.087842,7.0
2019-11-30,00000000197471,561113378,HU,0,93593.5,12003.74,0.087842,8.0
2019-11-30,00000000192681,561113426,HU,0,40453.29,5158.88,0.06597,8.0
2019-11-30,00000000197418,561113453,CU,0,54669.28,6987.85,0.076177,8.0
2019-11-30,00000000197637,561113457,CU,0,73684.51,8427.1,0.08619099999999999,9.0
2019-11-30,00000000197488,561113463,CU,4,516835.82,10505.61,0.08783010000000001,8.0
2019-11-30,00000000195253,561113466,HU,4,413014.47,5719.63,0.084535,8.0
2019-11-30,00000000197355,561113470,CU,0,70103.18000000001,8990.65,0.087842,8.0
2019-11-30,00000000197663,561113473,HU,0,35205.2,4491.59,0.069394,8.0
2019-11-30,00000000197730,561113492,HU,0,52652.01,6784.11,0.08701700000000001,9.0
2019-11-30,00000000197699,561113499,CU,0,57700.29,8471.96,0.089498,8.0
2019-11-30,00000000197702,561113500,HU,0,42956.42,5477.57,0.06768500000000001,8.0
2019-11-30,00000000197184,561113533,CU,4,469634.7,10387.85,0.084535,8.0
2019-11-30,00000000197714,561113544,CU,0,51337.3,7522.43,0.082874,8.0
2019-11-30,00000000197446,561113546,HU,0,55386.15,7103.74,0.087842,8.0
2019-11-30,00000000197779,561113594,HU,0,42875.810000000005,5477.57,0.06768500000000001,8.0
2019-11-30,00000000197871,561113604,CU,4,495312.08,9486.92,0.089488,8.0
2019-11-30,00000000197907,561113613,CU,4,740537.94,9016.82,0.102483,8.0
2019-11-30,00000000197908,561113614,HU,2,54493.07,6228.97,0.087842,8.0
2019-11-30,00000000197676,561113616,CU,0,89866.19,9298.13,0.091129,10.0
2019-11-30,00000000197387,561113620,HU,1,78102.48,8862.62,0.06768500000000001,8.0
2019-11-30,00000000196800,561113640,CU,4,865265.34,10249.53,0.102483,8.0
2019-11-30,00000000196777,561113643,CU,4,296836.72,8397.2,0.089488,8.0
2019-11-30,00000000197773,561113653,CU,4,522317.41,9332.71,0.105686,8.0
2019-11-30,00000000198031,561113688,CU,4,510812.46,8201.87,0.089488,8.0
2019-11-30,00000000124388,561113700,CU,1,127758.54,13299.07,0.085529,10.0
2019-11-30,00000000198056,561113703,CU,0,43903.89,8971.96,0.089488,8.0
2019-11-30,00000000196966,561113753,HU,0,51706.600000000006,6636.45,0.084535,8.0
2019-11-30,00000000198198,561113806,HU,4,234353.68,6864.49,0.076177,8.0
2019-11-30,00000000195001,561113844,HU,4,556592.8,8658.88,0.087842,8.0
2019-11-30,00000000198311,561113850,CU,0,42577.24,6267.29,0.076177,8.0
2019-11-30,00000000198343,561113855,CU,4,546077.35,9714.95,0.102483,8.0
